self.Anxiety,self.bipolar,self.depression,self.SuicideWatch,self.offmychest
0.13000014,0.15528524,0.31742263,0.23681994,0.16047199
0.13000014,0.15528524,0.31742263,0.23681994,0.16047199
0.13000014,0.15528524,0.31742263,0.23681994,0.16047199
0.13000014,0.15528524,0.31742263,0.23681994,0.16047199
0.13000014,0.15528524,0.31742263,0.23681994,0.16047199
0.13000014,0.15528524,0.31742263,0.23681994,0.16047199
0.13000014,0.15528524,0.31742263,0.23681994,0.16047199
0.13000014,0.15528524,0.31742263,0.23681994,0.16047199
0.122418545,0.22081864,0.24201871,0.14349264,0.27125147
0.13000014,0.15528524,0.31742263,0.23681994,0.16047199
0.13000014,0.15528524,0.31742263,0.23681994,0.16047199
0.22816037,0.2869584,0.41043472,0.056552276,0.017894248
0.14585339,0.19282497,0.33119506,0.17926958,0.15085699
0.024843609,0.0781262,0.20873342,0.11650529,0.5717914
0.13000014,0.15528524,0.31742263,0.23681994,0.16047199
0.13000014,0.15528524,0.31742263,0.23681994,0.16047199
0.13000014,0.15528524,0.31742263,0.23681994,0.16047199
0.13000014,0.15528524,0.31742263,0.23681994,0.16047199
0.07860999,0.09925788,0.32765895,0.23596443,0.2585087
0.13000014,0.15528524,0.31742263,0.23681994,0.16047199
0.09685921,0.1327364,0.32727093,0.36832193,0.07481156
0.13000014,0.15528524,0.31742263,0.23681994,0.16047199
0.15204547,0.18458669,0.3302854,0.24656196,0.08652036
0.15204547,0.18458669,0.3302854,0.24656196,0.08652036
0.13000014,0.15528524,0.31742263,0.23681994,0.16047199
0.13000014,0.15528524,0.31742263,0.23681994,0.16047199
0.15204547,0.18458669,0.3302854,0.24656196,0.08652036
0.13000014,0.15528524,0.31742263,0.23681994,0.16047199
0.13000014,0.15528524,0.31742263,0.23681994,0.16047199
0.13000014,0.15528524,0.31742263,0.23681994,0.16047199
0.2974613,0.49864167,0.16258314,0.030481404,0.010832508
0.08480396,0.15052366,0.45621154,0.07753317,0.23092768
0.13000014,0.15528524,0.31742263,0.23681994,0.16047199
0.13000014,0.15528524,0.31742263,0.23681994,0.16047199
0.13000014,0.15528524,0.31742263,0.23681994,0.16047199
0.08564049,0.12381334,0.55767894,0.1922971,0.040570185
0.22816037,0.2869584,0.41043472,0.056552276,0.017894248
0.08564049,0.12381334,0.55767894,0.1922971,0.040570185
0.08564049,0.12381334,0.55767894,0.1922971,0.040570185
0.22816037,0.2869584,0.41043472,0.056552276,0.017894248
